Year,County,Latitude,Longitude,Soybean,Corn,SeasonalPrep,SeasonalTmax,SeasonalTmin,SeasonalAvgTmax,SeasonalAvgTmin,WetDays,DaysA30,DaysB10,DaysB_2,GDD
1990,ADAMS,39.98784961,-91.18843677,2253,7801,669.115,37.13166667,0.168333333,25.6771949,14.60976321,66,46,42,0,2791.955834
1991,ADAMS,39.98784961,-91.18843677,2455,7734,747.3883333,36.45166667,0.306666667,26.85989982,15.40538251,53,59,42,0,2959.838334
1992,ADAMS,39.98784961,-91.18843677,2589,9886,425.235,33.22,1.428333333,24.91986339,12.91439891,60,21,54,0,2630.545
1993,ADAMS,39.98784961,-91.18843677,2690,7734,903.6883333,35.67833333,0.045,24.98873406,14.51775046,78,40,42,0,2742.934167
1994,ADAMS,39.98784961,-91.18843677,3094,9684,469.6016667,33.705,1.018333333,25.85806011,13.91076503,51,38,43,0,2754.974167
1995,ADAMS,39.98784961,-91.18843677,2556,7599,792.1883333,36.92666667,0.838333333,25.04520036,14.17084699,66,47,49,0,2710.5425
1996,ADAMS,39.98784961,-91.18843677,2690,9348,552.5666667,35.15,1.265,24.94252277,13.76784153,64,30,50,0,2682.913334
1997,ADAMS,39.98784961,-91.18843677,3026,8944,348.425,37.395,-0.75,25.57156648,14.03924408,59,44,45,0,2743.975834
1998,ADAMS,39.98784961,-91.18843677,2757,8810,639.6,35.21833333,2.983333333,26.24169399,15.94340619,77,48,30,0,2942.8675
1999,ADAMS,39.98784961,-91.18843677,2354,8205,421.36,38.14833333,1.295,26.06744991,14.39299636,56,48,41,0,2783.815834
2000,ADAMS,39.98784961,-91.18843677,3161,11567,595.94,36.29833333,-1.825,25.96592896,14.77495446,67,46,40,0,2851.135834
2001,ADAMS,39.98784961,-91.18843677,2959,10222,590.295,36.265,-0.591666667,26.07478142,14.89404372,70,48,33,0,2834.350834
2002,ADAMS,39.98784961,-91.18843677,3228,9819,680.01,35.42,1.463333333,26.78652095,15.32552823,66,67,43,0,2940.978334
2003,ADAMS,39.98784961,-91.18843677,2959,11500,619.5333333,37.27833333,-0.248333333,25.79496357,14.00154827,67,38,37,0,2735.144167
2004,ADAMS,39.98784961,-91.18843677,3295,13114,672.8533333,32.69333333,1.685,25.51408925,13.90763206,68,22,34,0,2739.936667
2005,ADAMS,39.98784961,-91.18843677,2892,8675,380.7316667,39.68833333,0.395,27.48708561,15.05717669,59,69,32,0,2943.876667
2006,ADAMS,39.98784961,-91.18843677,2892,8675,415.63,38.58333333,-0.326666667,26.42080146,14.72163024,46,50,43,0,2846.265
2007,ADAMS,39.98784961,-91.18843677,2488,10895,402.84,37.85333333,1.618333333,28.00612022,15.70758652,59,68,25,0,3040.440834
2008,ADAMS,39.98784961,-91.18843677,2757,11500,881.0916667,34.50666667,-0.165,25.3751275,14.45278689,79,26,38,0,2764.575834
2009,ADAMS,39.98784961,-91.18843677,3161,11567,726.6766667,34.795,0.241666667,24.63974499,13.97007286,77,24,36,0,2661.3725
2010,ADAMS,39.98784961,-91.18843677,3275,8198,913.875,35.95,2.413333333,26.94186703,15.76807832,81,62,34,0,2981.9325
2011,ADAMS,39.98784961,-91.18843677,2784,9133,539.1573334,38.88888889,1.388888889,26.57255616,15.14420158,55,60,43,0,2881.944445
2012,ADAMS,39.98784961,-91.18843677,2737,5111,460.8334967,40,1.111111111,27.86733455,14.95901639,51,77,38,0,2916.805556
2013,ADAMS,39.98784961,-91.18843677,2932,10309,647.9149656,37.5,-0.555555556,26.34486946,14.83606557,56,48,35,0,2848.75
2014,ADAMS,39.98784961,-91.18843677,3410,13611,1001.4585,35,0,25.24438373,14.64936248,71,32,41,0,2776.111111
2015,ADAMS,39.98784961,-91.18843677,3504,10632,825.4120311,34.44444444,-0.277777778,26.1763813,15.40528233,73,37,31,0,2912.777778
2016,ADAMS,39.98784961,-91.18843677,3820,12986,662.9823332,36.11111111,2.5,27.40133576,16.2037037,71,56,24,0,3033.333334
2017,ADAMS,39.98784961,-91.18843677,3759,12925,640.2493334,36.66666667,3.888888889,27.05069824,15.14268367,59,52,30,0,2918.888889
2018,ADAMS,39.98784961,-91.18843677,3988,13302,614.426,36.11111111,-3.055555556,28.02064359,16.46174863,60,80,23,2,3119.027778
2019,ADAMS,39.98784961,-91.18843677,3349,11305,855.1756667,34.72222222,0,26.48603522,15.95021251,68,53,27,0,2970.694445
1950,BROWN,39.96182979,-90.75037203,1648,3564,446.61,34.82,-0.48,25.75754098,12.8442623,41,28,43,0,2691.95
1951,BROWN,39.96182979,-90.75037203,1614,3901,618.75,36.49,-2.65,26.31726776,14.07825137,53,47,41,1,2814.045
1952,BROWN,39.96182979,-90.75037203,1681,3363,513.33,38.39,-3.81,27.89032787,14.09300546,41,73,46,3,2909.425
1953,BROWN,39.96182979,-90.75037203,1379,3161,297.63,38.37,-2.94,28.60540984,14.58704918,29,88,47,3,2956.4
1954,BROWN,39.96182979,-90.75037203,1547,3026,522.72,44,-0.34,28.50765027,15.49939891,45,84,36,0,3002.015
1955,BROWN,39.96182979,-90.75037203,1547,3430,788.68,37.52,3.43,28.34333333,15.26901639,42,76,31,0,2973.245
1956,BROWN,39.96182979,-90.75037203,1580,3901,475.23,38.87,-3.77,28.36923497,14.12622951,33,85,46,2,2962.96
1957,BROWN,39.96182979,-90.75037203,1614,3766,630.95,37.75,1.58,27.35224044,15.12393443,50,55,33,0,2931.175
1958,BROWN,39.96182979,-90.75037203,1816,4506,705.87,35.35,-0.67,26.28043716,13.81382514,48,38,40,0,2791.565
1959,BROWN,39.96182979,-90.75037203,1614,3699,544.3,35.78,0.3,27.73754098,15.31344262,45,86,34,0,2983.875
1960,BROWN,39.96182979,-90.75037203,1580,3699,608.73,36.78,0.35,27.01918033,14.39775956,46,51,36,0,2874.94
1961,BROWN,39.96182979,-90.75037203,1749,4035,969.15,33.86,-3.36,26.01857923,13.3279235,48,53,54,2,2749.465
1962,BROWN,39.96182979,-90.75037203,1849,4775,574.2,37.07,-1.65,28.03431694,15.01912568,49,66,26,0,2994.18
1963,BROWN,39.96182979,-90.75037203,1950,5515,467.89,37.15,-0.25,28.04153005,14.35032787,27,71,33,0,2922.645
1964,BROWN,39.96182979,-90.75037203,1883,4573,502.42,38.14,-2.55,27.47174863,14.32874317,39,68,39,1,2894.935
1965,BROWN,39.96182979,-90.75037203,1749,4842,713.47,37.22,0.28,27.07530055,14.20612022,45,59,37,0,2868.505
1966,BROWN,39.96182979,-90.75037203,1681,5044,603.22,39.46,-2.16,25.94,12.78502732,49,52,60,1,2664.95
1967,BROWN,39.96182979,-90.75037203,1984,6658,636.43,33.59,-2.79,24.44989071,12.32131148,51,26,64,1,2558.82
1968,BROWN,39.96182979,-90.75037203,2051,5985,749.76,34.24,-0.78,26.1536612,13.64535519,43,53,48,0,2753.54
1969,BROWN,39.96182979,-90.75037203,1917,5246,762.23,35.04,-0.4,26.17065574,14.18027322,40,47,39,0,2809.625
1970,BROWN,39.96182979,-90.75037203,2051,4439,1005.02,37.28,0.65,26.76765027,14.71273224,60,45,33,0,2888.88
1971,BROWN,39.96182979,-90.75037203,2152,6120,479.6,35.9,0.85,26.92415301,13.76016393,42,67,45,0,2827.35
1972,BROWN,39.96182979,-90.75037203,2186,6389,446.19,35.02,-1.46,26.67185792,14.14360656,41,61,43,0,2816.835
1973,BROWN,39.96182979,-90.75037203,1950,6389,869.81,34.19,2.08,26.21043716,14.93169399,54,41,26,0,2860.275
1974,BROWN,39.96182979,-90.75037203,1513,4909,549.02,37.36,-3.08,25.38846995,13.05234973,45,40,54,1,2662.245
1975,BROWN,39.96182979,-90.75037203,2186,6456,647.93,37.4,0.26,26.96825137,14.28273224,43,68,42,0,2857.76
1976,BROWN,39.96182979,-90.75037203,2018,5784,384.05,36.5,-0.22,26.50519126,13.24344262,25,51,44,0,2749.18
1977,BROWN,39.96182979,-90.75037203,2387,5246,754.8,37.3,0.14,27.13639344,15.04344262,43,53,28,0,2936.84
1978,BROWN,39.96182979,-90.75037203,2085,6860,500.9,35.16,-0.42,26.0836612,13.72879781,45,60,53,0,2771.32
1979,BROWN,39.96182979,-90.75037203,2253,7667,264.76,35.65,-3.33,26.64923497,13.92344262,31,57,47,1,2834.445
1980,BROWN,39.96182979,-90.75037203,1984,6792,499.9,39,-0.47,27.84617486,15.20677596,39,73,40,0,2978.72
1981,BROWN,39.96182979,-90.75037203,2387,8810,881.88,35.26,1.54,25.46551913,14.36360656,57,23,39,0,2781.345
1982,BROWN,39.96182979,-90.75037203,2387,8070,725.92,33.77,-0.96,25.34060109,14.3242623,36,20,34,0,2752.7
1983,BROWN,39.96182979,-90.75037203,1311,2354,412.76,39.01,-3.81,27.54721311,14.66032787,35,82,44,2,2886.96
1984,BROWN,39.96182979,-90.75037203,2118,7330,601.72,37.06,0.03,26.18464481,14.29814208,37,52,42,0,2816.975
1985,BROWN,39.96182979,-90.75037203,2354,8137,582.43,34.05,0.44,26.02262295,14.21125683,47,40,32,0,2792.715
1986,BROWN,39.96182979,-90.75037203,2488,8743,866.37,34.12,-2.71,26.45005464,14.81786885,50,44,34,1,2898.51
1987,BROWN,39.96182979,-90.75037203,2219,7801,372.9,37.78,-0.98,27.78131148,14.86027322,34,62,39,0,2972.1
1988,BROWN,39.96182979,-90.75037203,1917,5246,274.83,38.87,-0.45,27.97846995,14.06191257,22,75,45,0,2900.02
1989,BROWN,39.96182979,-90.75037203,2455,7398,445.52,36.36,0.53,25.90770492,13.75180328,36,45,48,0,2769.975
1990,BROWN,39.96182979,-90.75037203,2253,8272,758.42,36.37,-0.77,25.71606557,14.31644809,52,46,45,0,2776.54
1991,BROWN,39.96182979,-90.75037203,2488,7465,819.66,35.68,0.02,26.8515847,15.02497268,41,60,42,0,2933.66
1992,BROWN,39.96182979,-90.75037203,2825,9281,481.82,33.12,1.33,24.89737705,12.57693989,49,22,56,0,2614.585
1993,BROWN,39.96182979,-90.75037203,2858,7734,956.54,34.59,-0.98,24.87327869,13.70814208,58,34,52,0,2687.42
1994,BROWN,39.96182979,-90.75037203,2925,9415,464.78,34.31,1,25.92404372,13.35284153,31,45,44,0,2717.765
1995,BROWN,39.96182979,-90.75037203,2488,6792,746.53,36.55,-0.04,25.26311475,13.91218579,52,48,50,0,2713.72
1996,BROWN,39.96182979,-90.75037203,2690,8205,562.34,35.3,0.58,24.96256831,13.05245902,39,33,56,0,2641.41
1997,BROWN,39.96182979,-90.75037203,2892,7936,413.52,37.27,-1.98,25.49530055,13.24360656,35,45,50,0,2689.5
1998,BROWN,39.96182979,-90.75037203,3026,9550,675.88,34.95,1.54,26.26808743,15.19431694,50,54,33,0,2891.115
1999,BROWN,39.96182979,-90.75037203,2959,8608,415.81,37.84,0.63,26.18081967,13.65901639,29,50,48,0,2750.59
2000,BROWN,39.96182979,-90.75037203,3094,10558,483.37,35.42,-2.54,25.95431694,13.99431694,40,46,48,4,2802.18
2001,BROWN,39.96182979,-90.75037203,2757,9953,619.29,35.81,-1.83,26.23967213,13.9326776,42,47,39,0,2778.06
2002,BROWN,39.96182979,-90.75037203,3026,8877,597.38,35.04,-0.37,26.73251366,14.40972678,36,65,46,0,2884.635
2003,BROWN,39.96182979,-90.75037203,2757,11298,749.6,36.15,-1.85,25.52120219,13.44437158,45,33,48,0,2685.885
2004,BROWN,39.96182979,-90.75037203,3161,12441,597.66,32.55,-0.82,25.60021858,13.23087432,44,21,46,0,2704.325
2005,BROWN,39.96182979,-90.75037203,2959,9079,304.31,38.89,-0.95,27.24322404,14.15956284,34,69,36,0,2863.395
2006,BROWN,39.96182979,-90.75037203,3026,9281,384.01,37,-1.79,26.34060109,13.85666667,37,48,48,0,2787.43
2007,BROWN,39.96182979,-90.75037203,2354,10222,280.39,38.14,0.44,28.17360656,14.66420765,32,66,31,0,2966.54
2008,BROWN,39.96182979,-90.75037203,2488,10222,925.55,34.36,-0.56,25.23814208,13.50557377,62,25,46,0,2693.49
2009,BROWN,39.96182979,-90.75037203,3094,10558,729.98,34.8,0.22,24.4489071,13.18737705,45,15,47,0,2593.08
2010,BROWN,39.96182979,-90.75037203,3235,8036,925.56,35.45,1.43,26.86934426,14.91644809,42,59,37,0,2923.11
2011,BROWN,39.96182979,-90.75037203,2609,8541,628.65,38.88888889,1.388888889,26.57255616,15.14420158,52,60,43,0,2881.944445
2012,BROWN,39.96182979,-90.75037203,2515,5851,513.5344056,40,1.111111111,27.86733455,14.95901639,55,77,38,0,2916.805556
2013,BROWN,39.96182979,-90.75037203,3235,11849,765.3319591,37.5,-0.555555556,26.34486946,14.83606557,50,48,35,0,2848.75
2014,BROWN,39.96182979,-90.75037203,3430,13221,1099.412867,35,0,25.24438373,14.64936248,96,32,41,0,2776.111111
2015,BROWN,39.96182979,-90.75037203,3295,10572,711.835,34.44444444,-0.277777778,26.1763813,15.40528233,55,37,31,0,2912.777778
2016,BROWN,39.96182979,-90.75037203,3497,12260,638.2551476,36.11111111,2.5,27.40133576,16.2037037,61,56,24,0,3033.333334
2017,BROWN,39.96182979,-90.75037203,3840,12690,638.357837,36.66666667,3.888888889,27.05069824,15.14268367,40,52,30,0,2918.888889
2018,BROWN,39.96182979,-90.75037203,4055,12636,770.6385621,36.11111111,-3.055555556,28.02064359,16.46174863,183,80,23,2,3119.027778
2019,BROWN,39.96182979,-90.75037203,3779,-99,771.6998828,34.72222222,0,26.48603522,15.95021251,183,53,27,0,2970.694445
1950,ALEXANDER,37.19138885,-89.33759995,1278,1883,712.8766667,35.53666667,3.383333333,26.90894353,16.64839709,70,48,16,0,3054.285
1951,ALEXANDER,37.19138885,-89.33759995,1547,2219,601.2533334,38.04666667,0.85,28.39313297,16.92632058,52,79,22,0,3160.446667
1952,ALEXANDER,37.19138885,-89.33759995,1244,2085,550.8166667,40.40333333,1.073333333,29.651949,17.29983607,45,97,22,0,3219.153334
1953,ALEXANDER,37.19138885,-89.33759995,1076,2085,342.3166667,38.69333333,-0.533333333,30.27227687,17.36730419,40,107,21,0,3259.598334
1954,ALEXANDER,37.19138885,-89.33759995,1042,2287,559.4,39.93333333,2.693333333,30.46930783,18.24369763,53,105,19,0,3323.885
1955,ALEXANDER,37.19138885,-89.33759995,942,2219,618.13,36.13,6.526666667,29.49061931,17.92759563,57,92,8,0,3291.618334
1956,ALEXANDER,37.19138885,-89.33759995,1446,2690,421.6466667,39.03,2.44,29.29349727,16.82234973,50,90,23,0,3195.718334
1957,ALEXANDER,37.19138885,-89.33759995,1547,2219,758.91,36.02333333,4.553333333,28.57251366,17.55358834,67,65,14,0,3242.331667
1958,ALEXANDER,37.19138885,-89.33759995,1412,2421,702.7533333,35.86666667,3.95,28.23668488,17.07690346,71,79,21,0,3166.933334
1959,ALEXANDER,37.19138885,-89.33759995,1614,3295,579.08,35.66333333,3.363333333,28.91506375,17.85067395,70,90,15,0,3285.260001
1960,ALEXANDER,37.19138885,-89.33759995,1580,3026,545.7333333,37.97333333,3.593333333,28.91091075,17.37825137,55,82,15,0,3233.296667
1961,ALEXANDER,37.19138885,-89.33759995,1614,3766,674.5633333,34.68666667,1.43,27.53741348,16.20626594,61,76,30,0,3057.468334
1962,ALEXANDER,37.19138885,-89.33759995,1412,3632,654.7233333,37.27,1.23,29.24628415,18.00630237,66,90,13,0,3301.468334
1963,ALEXANDER,37.19138885,-89.33759995,1816,4102,507.02,37.39333333,2.823333333,29.08234973,17.01668488,52,88,14,0,3212.991667
1964,ALEXANDER,37.19138885,-89.33759995,1648,3833,435.1133333,39.67666667,0.98,28.98295082,17.41635701,48,93,16,0,3210.008334
1965,ALEXANDER,37.19138885,-89.33759995,1513,3295,698.97,38.21,4.74,28.63872495,17.16200364,55,81,24,0,3215.915001
1966,ALEXANDER,37.19138885,-89.33759995,1648,3430,766.1633333,39.64333333,2.753333333,27.70018215,16.20907104,60,63,23,0,3037.161667
1967,ALEXANDER,37.19138885,-89.33759995,1883,5044,713.0466667,35.01333333,2.223333333,26.59149362,15.73723133,64,45,24,0,2950.045
1968,ALEXANDER,37.19138885,-89.33759995,1950,4506,581.18,35.31333333,4.696666667,28.01941712,17.01506375,61,72,16,0,3132.413334
1969,ALEXANDER,37.19138885,-89.33759995,1883,4977,437.21,37.05333333,3.91,28.75380692,17.08954463,53,80,22,0,3187.613334
1970,ALEXANDER,37.19138885,-89.33759995,1749,2287,757.47,37.57,5.01,28.66083789,18.15546448,64,78,12,0,3285.053334
1971,ALEXANDER,37.19138885,-89.33759995,1816,5380,606.8633333,37.27,4.39,28.27074681,17.06797814,59,79,23,0,3172.611667
1972,ALEXANDER,37.19138885,-89.33759995,1782,5582,680.35,35.06333333,5.556666667,27.91318761,17.16014572,63,69,13,0,3150.146667
1973,ALEXANDER,37.19138885,-89.33759995,1681,5582,802.49,35.64666667,6.69,27.95185792,18.00091075,80,73,12,0,3222.7
1974,ALEXANDER,37.19138885,-89.33759995,1379,4170,534.2633333,36.89666667,2.11,26.82664845,16.02546448,54,53,28,0,2983.135
1975,ALEXANDER,37.19138885,-89.33759995,1681,4775,700.4466667,35.43333333,4.303333333,28.16546448,17.75091075,65,78,11,0,3206.131667
1976,ALEXANDER,37.19138885,-89.33759995,1547,5447,576.8233333,37.36333333,3.08,27.17125683,15.69444444,54,53,26,0,2986.013334
1977,ALEXANDER,37.19138885,-89.33759995,2118,6254,685.7633333,37.26,1.553333333,28.863898,18.42471767,66,96,18,0,3324.93
1978,ALEXANDER,37.19138885,-89.33759995,1883,6254,613.5566667,37.60666667,2.616666667,28.13845173,17.20218579,55,87,24,0,3143.645
1979,ALEXANDER,37.19138885,-89.33759995,2051,7061,561.9266667,35.94666667,1.636666667,27.35245902,16.86091075,62,64,25,0,3091.13
1980,ALEXANDER,37.19138885,-89.33759995,1681,3295,388.5266667,39.86333333,2.466666667,29.87825137,17.63790528,44,100,22,0,3252.59
1981,ALEXANDER,37.19138885,-89.33759995,1883,6725,704.0933333,36.2,3.906666667,27.61081967,16.98714025,70,64,22,0,3114.431667
1982,ALEXANDER,37.19138885,-89.33759995,2018,7061,580.4666667,37.2,4.31,27.96879781,16.85397086,73,67,19,0,3139.921667
1983,ALEXANDER,37.19138885,-89.33759995,1446,3699,581.7466667,38.42333333,-1.4,28.66409836,16.51943534,50,91,27,0,3095.748334
1984,ALEXANDER,37.19138885,-89.33759995,1984,5985,624.9966667,35.85333333,3.28,28.16508197,16.43934426,62,80,26,0,3085.736667
1985,ALEXANDER,37.19138885,-89.33759995,2018,7061,732.7866667,36.67333333,1.806666667,28.39664845,16.69204007,61,70,18,0,3154.793334
1986,ALEXANDER,37.19138885,-89.33759995,2287,6456,695.12,37.22333333,1.276666667,28.83437158,17.28061931,61,87,18,0,3224.176667
1987,ALEXANDER,37.19138885,-89.33759995,1917,7398,391.17,37.89666667,-1.986666667,30.07154827,16.93054645,46,114,25,0,3286.120001
1988,ALEXANDER,37.19138885,-89.33759995,1749,5380,609.74,38.03,-0.543333333,28.80854281,14.06584699,38,85,50,0,2975.510001
1989,ALEXANDER,37.19138885,-89.33759995,1715,6860,500.36,34.31333333,2.503333333,27.67449909,15.02872495,50,66,35,0,2983.758334
1990,ALEXANDER,37.19138885,-89.33759995,1950,7532,604.6866667,37.15666667,0.716666667,27.72180328,15.69688525,61,63,25,0,3010.94
1991,ALEXANDER,37.19138885,-89.33759995,2152,5111,413.4733333,35.93333333,-1.646666667,28.96774135,16.51737705,68,93,34,0,3189.080001
1992,ALEXANDER,37.19138885,-89.33759995,2253,9146,575.4733334,34.45333333,0.35,26.9182878,14.84925319,56,44,39,0,2934.503334
1993,ALEXANDER,37.19138885,-89.33759995,2018,6053,603.9366666,36.06333333,1.466666667,27.61446266,16.52249545,55,75,29,0,3062.421667
1994,ALEXANDER,37.19138885,-89.33759995,2488,10088,484.39,34.4,3.383333333,27.81306011,15.36224044,57,66,31,0,3006.235001
1995,ALEXANDER,37.19138885,-89.33759995,1849,7868,705.3933333,36.23333333,3.59,28.16699454,16.49883424,58,75,24,0,3116.653334
1996,ALEXANDER,37.19138885,-89.33759995,2152,8205,630.7066667,34.87,1.84,27.53728597,15.87415301,59,71,32,0,3030.230001
1997,ALEXANDER,37.19138885,-89.33759995,2522,7599,569.4333333,37.12,0.89,27.01198543,15.6942623,58,59,34,0,2985.166667
1998,ALEXANDER,37.19138885,-89.33759995,2051,7734,877.34,36.00666667,5.34,28.72362477,17.59976321,59,92,19,0,3242.078334
1999,ALEXANDER,37.19138885,-89.33759995,1614,7868,464.7966667,37.59333333,2.203333333,28.82624772,15.67621129,47,80,27,0,3080.186667
2000,ALEXANDER,37.19138885,-89.33759995,2488,9348,595.3033333,37.24666667,-1.043333333,27.93571949,15.68054645,68,75,32,0,3061.060001
2001,ALEXANDER,37.19138885,-89.33759995,2354,10357,720.61,35.49,-0.083333333,28.07457195,15.56630237,72,67,31,0,3063.656667
2002,ALEXANDER,37.19138885,-89.33759995,2152,5985,797.7333333,35.96666667,0.843333333,28.79939891,17.47387978,70,89,24,0,3225.278334
2003,ALEXANDER,37.19138885,-89.33759995,2556,9886,764.88,35.75666667,3.55,27.24593807,15.75083789,76,54,24,0,2993.823334
2004,ALEXANDER,37.19138885,-89.33759995,3026,11164,585.3966667,35.47666667,2.55,27.60888889,15.90045537,59,48,19,0,3065.053334
2005,ALEXANDER,37.19138885,-89.33759995,2690,9886,580.76,35.6,2.25,28.32167577,16.13140255,63,87,34,0,3109.018334
2006,ALEXANDER,37.19138885,-89.33759995,2959,10222,714.9333333,35.91666667,0.126666667,27.85061931,15.86905282,69,65,25,0,3035.18
2007,ALEXANDER,37.19138885,-89.33759995,2421,11971,364.9833333,38.72666667,2.8,29.98435337,16.96005464,46,98,18,0,3268.975001
2008,ALEXANDER,37.19138885,-89.33759995,2690,9684,482.04,35.53,0.323333333,27.99262295,15.93333333,57,66,25,0,3076.218334
2009,ALEXANDER,37.19138885,-89.33759995,2757,10827,779.49,35.57333333,4.356666667,27.19007286,16.20717668,77,49,25,0,3029.26
